sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
FK0010668,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"Campbell's Broth, Chicken (900 mL)",,,,1,Taxable Goods,"Catalog, Search",2.1276,,,,,,,/FK0010668.png,"Campbell's Broth, Chicken (900 mL)",/FK0010668.png,,/FK0010668.png,,/FK0010668.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010669,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,No Name Miniature Cobs of Corn (398 mL),,,,1,Taxable Goods,"Catalog, Search",1.8144,,,,,,,/FK0010669.png,No Name Miniature Cobs of Corn (398 mL),/FK0010669.png,,/FK0010669.png,,/FK0010669.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010670,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,No Name Club Pack Sliced Mushrooms (12x284mL),,,,1,Taxable Goods,"Catalog, Search",11.1776,,,,,,,,No Name Club Pack Sliced Mushrooms (12x284mL),,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010671,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,Del Monte Very Cherry (796 mL),,,,1,Taxable Goods,"Catalog, Search",3.402,,,,,,,/FK0010671.png,Del Monte Very Cherry (796 mL),/FK0010671.png,,/FK0010671.png,,/FK0010671.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010672,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"Aylmer Accents Petite Cut Stewed Tomatoes, Spicy Red Pepper (540 mL)",,,,1,Taxable Goods,"Catalog, Search",1.5876,,,,,,,/FK0010672.png,"Aylmer Accents Petite Cut Stewed Tomatoes, Spicy Red Pepper (540 mL)",/FK0010672.png,,/FK0010672.png,,/FK0010672.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010673,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,Hunt's Tomato Paste (369 mL),,,,1,Taxable Goods,"Catalog, Search",2.2464,,,,,,,/FK0010673.png,Hunt's Tomato Paste (369 mL),/FK0010673.png,,/FK0010673.png,,/FK0010673.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010674,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"SunRype Apple Sauce, Unsweetened (625 mL)",,,,1,Taxable Goods,"Catalog, Search",3.7692,,,,,,,/FK0010674.png,"SunRype Apple Sauce, Unsweetened (625 mL)",/FK0010674.png,,/FK0010674.png,,/FK0010674.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010675,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"President's Choice Pasta Sauce, Quattro Formaggi 4-Cheese (650 mL)",,,,1,Taxable Goods,"Catalog, Search",2.6656,,,,,,,/FK0010675.png,"President's Choice Pasta Sauce, Quattro Formaggi 4-Cheese (650 mL)",/FK0010675.png,,/FK0010675.png,,/FK0010675.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010676,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"President's Choice Ready-To-Serve Soup, Cream Of Mushroom (540 mL)",,,,1,Taxable Goods,"Catalog, Search",2.6892,,,,,,,/FK0010676.png,"President's Choice Ready-To-Serve Soup, Cream Of Mushroom (540 mL)",/FK0010676.png,,/FK0010676.png,,/FK0010676.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010677,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,No Name Asparagus Tips (341 mL),,,,1,Taxable Goods,"Catalog, Search",5.1624,,,,,,,/FK0010677.png,No Name Asparagus Tips (341 mL),/FK0010677.png,,/FK0010677.png,,/FK0010677.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
