sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
FK0007639,,Default,virtual,"MAIN MENUBAR/FOOD/FRUITS & VEGETABLES,MAIN MENUBAR/FOOD/FRUITS & VEGETABLES/FRUITS",base,Granny Smith Apples (2.27 kg),,,,1,Taxable Goods,"Catalog, Search",9.6984,,,,,,,,Granny Smith Apples (2.27 kg),,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007640,,Default,virtual,"MAIN MENUBAR/FOOD/FRUITS & VEGETABLES,MAIN MENUBAR/FOOD/FRUITS & VEGETABLES/FRUITS",base,Organic Cantaloupe (1 ea),,,,1,Taxable Goods,"Catalog, Search",3.7584,,,,,,,/FK0007640.png,Organic Cantaloupe (1 ea),/FK0007640.png,,/FK0007640.png,,/FK0007640.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007641,,Default,virtual,"MAIN MENUBAR/FOOD/FRUITS & VEGETABLES,MAIN MENUBAR/FOOD/FRUITS & VEGETABLES/FRUITS",base,Strawberries (454 g),,,,1,Taxable Goods,"Catalog, Search",2.2176,,,,,,,/FK0007641.png,Strawberries (454 g),/FK0007641.png,,/FK0007641.png,,/FK0007641.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007642,,Default,virtual,"MAIN MENUBAR/FOOD/FRUITS & VEGETABLES,MAIN MENUBAR/FOOD/FRUITS & VEGETABLES/FRUITS",base,Blackberries (0.5 pint),,,,1,Taxable Goods,"Catalog, Search",4.2876,,,,,,,/FK0007642.png,Blackberries (0.5 pint),/FK0007642.png,,/FK0007642.png,,/FK0007642.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007643,,Default,virtual,"MAIN MENUBAR/FOOD/FRUITS & VEGETABLES,MAIN MENUBAR/FOOD/FRUITS & VEGETABLES/FRUITS",base,"Papaya, Ripe & Ready",,,,1,Taxable Goods,"Catalog, Search",3.9312,,,,,,,/FK0007643.png,"Papaya, Ripe & Ready",/FK0007643.png,,/FK0007643.png,,/FK0007643.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007644,,Default,virtual,"MAIN MENUBAR/FOOD/FRUITS & VEGETABLES,MAIN MENUBAR/FOOD/FRUITS & VEGETABLES/FRUITS",base,Bartlett Pears,,,,1,Taxable Goods,"Catalog, Search",0.9828,,,,,,,/FK0007644.png,Bartlett Pears,/FK0007644.png,,/FK0007644.png,,/FK0007644.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007645,,Default,virtual,"MAIN MENUBAR/FOOD/FRUITS & VEGETABLES,MAIN MENUBAR/FOOD/FRUITS & VEGETABLES/FRUITS",base,Limes (1 ea),,,,1,Taxable Goods,"Catalog, Search",0.3996,,,,,,,/FK0007645.png,Limes (1 ea),/FK0007645.png,,/FK0007645.png,,/FK0007645.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007646,,Default,virtual,"MAIN MENUBAR/FOOD/FRUITS & VEGETABLES,MAIN MENUBAR/FOOD/FRUITS & VEGETABLES/FRUITS",base,President's Choice Sungold Kiwi (1 ea),,,,1,Taxable Goods,"Catalog, Search",4.2984,,,,,,,/FK0007646.png,President's Choice Sungold Kiwi (1 ea),/FK0007646.png,,/FK0007646.png,,/FK0007646.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007647,,Default,virtual,"MAIN MENUBAR/FOOD/FRUITS & VEGETABLES,MAIN MENUBAR/FOOD/FRUITS & VEGETABLES/FRUITS",base,Organic Gala Apples,,,,1,Taxable Goods,"Catalog, Search",1.566,,,,,,,/FK0007647.png,Organic Gala Apples,/FK0007647.png,,/FK0007647.png,,/FK0007647.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007648,,Default,virtual,"MAIN MENUBAR/FOOD/FRUITS & VEGETABLES,MAIN MENUBAR/FOOD/FRUITS & VEGETABLES/FRUITS",base,"President's Choice Black Sable Grapes, Seedless",,,,1,Taxable Goods,"Catalog, Search",12.9708,,,,,,,/FK0007648.png,"President's Choice Black Sable Grapes, Seedless",/FK0007648.png,,/FK0007648.png,,/FK0007648.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007649,,Default,virtual,"MAIN MENUBAR/FOOD/FRUITS & VEGETABLES,MAIN MENUBAR/FOOD/FRUITS & VEGETABLES/FRUITS",base,"Bananas, Bunch",,,,1,Taxable Goods,"Catalog, Search",2.106,,,,,,,/FK0007649.png,"Bananas, Bunch",/FK0007649.png,,/FK0007649.png,,/FK0007649.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
