sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id
FK0004548,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,Keurig Timothy's Rainforest Espresso (30 ea),,,,1,Taxable Goods,"Catalog, Search",20.1744,,,,,,,/FK0004548.png,Keurig Timothy's Rainforest Espresso (30 ea),/FK0004548.png,,/FK0004548.png,,/FK0004548.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004549,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,Lavazza Qualita Oro Coffee Beans (1 kg),,,,1,Taxable Goods,"Catalog, Search",28.0584,,,,,,,/FK0004549.png,Lavazza Qualita Oro Coffee Beans (1 kg),/FK0004549.png,,/FK0004549.png,,/FK0004549.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004550,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,Nabob Full City Dark Coffee Pods (292 g),,,,1,Taxable Goods,"Catalog, Search",16.7776,,,,,,,/FK0004550.png,Nabob Full City Dark Coffee Pods (292 g),/FK0004550.png,,/FK0004550.png,,/FK0004550.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004551,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,"Danesco Monogram Mug, G (1 ea)",,,,1,Taxable Goods,"Catalog, Search",9.7092,,,,,,,/FK0004551.png,"Danesco Monogram Mug, G (1 ea)",/FK0004551.png,,/FK0004551.png,,/FK0004551.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004552,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,"Tim Hortons K Cup, French Vanilla (120 g)",,,,1,Taxable Goods,"Catalog, Search",11.3184,,,,,,,,"Tim Hortons K Cup, French Vanilla (120 g)",,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004553,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,"President's Choice Tea Latte, Chai (112 g)",,,,1,Taxable Goods,"Catalog, Search",9.1584,,,,,,,/FK0004553.png,"President's Choice Tea Latte, Chai (112 g)",/FK0004553.png,,/FK0004553.png,,/FK0004553.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004554,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,Kicking Horse Dark Roast Grizzly Claw (454 g),,,,1,Taxable Goods,"Catalog, Search",18.1224,,,,,,,/FK0004554.png,Kicking Horse Dark Roast Grizzly Claw (454 g),/FK0004554.png,,/FK0004554.png,,/FK0004554.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004555,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,Maxwell House Rich Dark Roast (925 g),,,,1,Taxable Goods,"Catalog, Search",7.8176,,,,,,,/FK0004555.png,Maxwell House Rich Dark Roast (925 g),/FK0004555.png,,/FK0004555.png,,/FK0004555.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004556,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,Tassimo Nabob Swiss Hazelnut (14 ea),,,,1,Taxable Goods,"Catalog, Search",7.8176,,,,,,,/FK0004556.png,Tassimo Nabob Swiss Hazelnut (14 ea),/FK0004556.png,,/FK0004556.png,,/FK0004556.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004557,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,"Tim Hortons K Cup, Colombian (12 ea)",,,,1,Taxable Goods,"Catalog, Search",11.3184,,,,,,,,"Tim Hortons K Cup, Colombian (12 ea)",,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004558,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,Keurig Van Houtte Original House Blend Medium Roast (30 ea),,,,1,Taxable Goods,"Catalog, Search",20.1744,,,,,,,/FK0004558.png,Keurig Van Houtte Original House Blend Medium Roast (30 ea),/FK0004558.png,,/FK0004558.png,,/FK0004558.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0004559,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ COFFEE",base,Keurig Cafe Escapes Hot Cocoa Mix (12 ea),,,,1,Taxable Goods,"Catalog, Search",12.9384,,,,,,,/FK0004559.png,Keurig Cafe Escapes Hot Cocoa Mix (12 ea),/FK0004559.png,,/FK0004559.png,,/FK0004559.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
