sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
FK0008139,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,"No Name Wet Cloth, Extra Power (24 ea)",,,,1,Taxable Goods,"Catalog, Search",9.1692,,,,,,,/FK0008139.png,"No Name Wet Cloth, Extra Power (24 ea)",/FK0008139.png,,/FK0008139.png,,/FK0008139.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008140,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,"Vileda Pure Gloves, S/M (1 ea)",,,,1,Taxable Goods,"Catalog, Search",4.6116,,,,,,,/FK0008140.png,"Vileda Pure Gloves, S/M (1 ea)",/FK0008140.png,,/FK0008140.png,,/FK0008140.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008141,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,"Swiffer Sweeper Dry Sweeping Refills, Lavender Vanilla (16 ea)",,,,1,Taxable Goods,"Catalog, Search",6.4692,,,,,,,/FK0008141.png,"Swiffer Sweeper Dry Sweeping Refills, Lavender Vanilla (16 ea)",/FK0008141.png,,/FK0008141.png,,/FK0008141.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008142,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,No Name Ultra Cloth (3 pack),,,,1,Taxable Goods,"Catalog, Search",3.0996,,,,,,,/FK0008142.png,No Name Ultra Cloth (3 pack),/FK0008142.png,,/FK0008142.png,,/FK0008142.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008143,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,"No Name Dry Sweeping Refills, Floral Scent (32 ea)",,,,1,Taxable Goods,"Catalog, Search",8.1972,,,,,,,/FK0008143.png,"No Name Dry Sweeping Refills, Floral Scent (32 ea)",/FK0008143.png,,/FK0008143.png,,/FK0008143.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008144,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,Swiffer Dusters Refills with Gain Scent (10x10ea),,,,1,Taxable Goods,"Catalog, Search",11.8584,,,,,,,/FK0008144.png,Swiffer Dusters Refills with Gain Scent (10x10ea),/FK0008144.png,,/FK0008144.png,,/FK0008144.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008145,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,3M Scotch BriteHeavy Duty Dishwand (1 ea),,,,1,Taxable Goods,"Catalog, Search",3.2292,,,,,,,/FK0008145.png,3M Scotch BriteHeavy Duty Dishwand (1 ea),/FK0008145.png,,/FK0008145.png,,/FK0008145.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008146,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,No Name Strip Mop Refill (1 ea),,,,1,Taxable Goods,"Catalog, Search",7.5492,,,,,,,/FK0008146.png,No Name Strip Mop Refill (1 ea),/FK0008146.png,,/FK0008146.png,,/FK0008146.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008147,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,No Name Bowl Brush with Holder (1 ea),,,,1,Taxable Goods,"Catalog, Search",5.3892,,,,,,,/FK0008147.png,No Name Bowl Brush with Holder (1 ea),/FK0008147.png,,/FK0008147.png,,/FK0008147.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008148,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,"Mr. Clean Eraser Tub, Original (7x7ea)",,,,1,Taxable Goods,"Catalog, Search",10.2492,,,,,,,,"Mr. Clean Eraser Tub, Original (7x7ea)",,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008149,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,"No Name Rectangle Pail, 16L (1 ea)",,,,1,Taxable Goods,"Catalog, Search",8.4132,,,,,,,/FK0008149.png,"No Name Rectangle Pail, 16L (1 ea)",/FK0008149.png,,/FK0008149.png,,/FK0008149.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008150,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,"No Name Latex Free Gloves, Medium (1 pair)",,,,1,Taxable Goods,"Catalog, Search",4.6116,,,,,,,/FK0008150.png,"No Name Latex Free Gloves, Medium (1 pair)",/FK0008150.png,,/FK0008150.png,,/FK0008150.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008151,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,3M Scotch BriteExtreme Scour Pad (2x1ea),,,,1,Taxable Goods,"Catalog, Search",4.8492,,,,,,,,3M Scotch BriteExtreme Scour Pad (2x1ea),,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008152,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,Vileda Super Angle Broom (1 ea),,,,1,Taxable Goods,"Catalog, Search",9.1692,,,,,,,/FK0008152.png,Vileda Super Angle Broom (1 ea),/FK0008152.png,,/FK0008152.png,,/FK0008152.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008153,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,3M Scotch BriteDishwand Refill (2x1ea),,,,1,Taxable Goods,"Catalog, Search",4.2984,,,,,,,/FK0008153.png,3M Scotch BriteDishwand Refill (2x1ea),/FK0008153.png,,/FK0008153.png,,/FK0008153.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008154,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,No Name Tile Grout Brush (1 ea),,,,1,Taxable Goods,"Catalog, Search",3.2292,,,,,,,/FK0008154.png,No Name Tile Grout Brush (1 ea),/FK0008154.png,,/FK0008154.png,,/FK0008154.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008155,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,3M Scotch BriteHeavy Duty Sponge (1 ea),,,,1,Taxable Goods,"Catalog, Search",4.2984,,,,,,,,3M Scotch BriteHeavy Duty Sponge (1 ea),,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008156,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,"Swiffer Wet Jet Open Hanging Box, Starter Kit (1 ea)",,,,1,Taxable Goods,"Catalog, Search",32.3892,,,,,,,/FK0008156.png,"Swiffer Wet Jet Open Hanging Box, Starter Kit (1 ea)",/FK0008156.png,,/FK0008156.png,,/FK0008156.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008157,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,Rubbermaid Scouring Pad Refill (1 ea),,,,1,Taxable Goods,"Catalog, Search",5.3892,,,,,,,/FK0008157.png,Rubbermaid Scouring Pad Refill (1 ea),/FK0008157.png,,/FK0008157.png,,/FK0008157.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008158,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,Vileda Super Mop (1 ea),,,,1,Taxable Goods,"Catalog, Search",8.3052,,,,,,,/FK0008158.png,Vileda Super Mop (1 ea),/FK0008158.png,,/FK0008158.png,,/FK0008158.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008159,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,Mr. Clean Magic Eraser Kitchen Scrubber (4 ea),,,,1,Taxable Goods,"Catalog, Search",7.8732,,,,,,,/FK0008159.png,Mr. Clean Magic Eraser Kitchen Scrubber (4 ea),/FK0008159.png,,/FK0008159.png,,/FK0008159.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008160,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,Mr. Clean Magic Eraser Original (1 ea),,,,1,Taxable Goods,"Catalog, Search",1.08,,,,,,,/FK0008160.png,Mr. Clean Magic Eraser Original (1 ea),/FK0008160.png,,/FK0008160.png,,/FK0008160.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0008161,,Default,virtual,"MAIN MENUBAR/HOUSE HOLD SUPPLIES,MAIN MENUBAR/HOUSE HOLD SUPPLIES/ CLEANING TOOLS",base,Swiffer Dry Cloth Refill (32 ea),,,,1,Taxable Goods,"Catalog, Search",11.8584,,,,,,,/FK0008161.png,Swiffer Dry Cloth Refill (32 ea),/FK0008161.png,,/FK0008161.png,,/FK0008161.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
