sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
FK0007007,,Default,virtual,"MAIN MENUBAR/FOOD/FROZEN,MAIN MENUBAR/FOOD/FROZEN/ BAKERY & FRUIT",base,"No Name Club Pack Whole Kernel Corn, Club Pack (2 kg)",,,,1,Taxable Goods,"Catalog, Search",4.9464,,,,,,,/FK0007007.png,"No Name Club Pack Whole Kernel Corn, Club Pack (2 kg)",/FK0007007.png,,/FK0007007.png,,/FK0007007.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007008,,Default,virtual,"MAIN MENUBAR/FOOD/FROZEN,MAIN MENUBAR/FOOD/FROZEN/ MEALS",base,"President's Choice Extra Fine Green Beans, Whole (500 g)",,,,1,Taxable Goods,"Catalog, Search",2.7776,,,,,,,/FK0007008.png,"President's Choice Extra Fine Green Beans, Whole (500 g)",/FK0007008.png,,/FK0007008.png,,/FK0007008.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007009,,Default,virtual,"MAIN MENUBAR/FOOD/FROZEN,MAIN MENUBAR/FOOD/FROZEN/ BAKERY & FRUIT",base,President's Choice Canadian Wild Blueberries (600 g),,,,1,Taxable Goods,"Catalog, Search",4.4688,,,,,,,/FK0007009.png,President's Choice Canadian Wild Blueberries (600 g),/FK0007009.png,,/FK0007009.png,,/FK0007009.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007010,,Default,virtual,"MAIN MENUBAR/FOOD/FROZEN,MAIN MENUBAR/FOOD/FROZEN/ MEAT & POULTRY",base,Best Lasagna (907 g),,,,1,Taxable Goods,"Catalog, Search",6.2424,,,,,,,/FK0007010.png,Best Lasagna (907 g),/FK0007010.png,,/FK0007010.png,,/FK0007010.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007011,,Default,virtual,"MAIN MENUBAR/FOOD/FROZEN,MAIN MENUBAR/FOOD/FROZEN/ BREAKFAST FOODS",base,"Silver Hills Sprouted Organic Ancient Grains, Big Red's Bread (510 g)",,,,1,Taxable Goods,"Catalog, Search",5.0176,,,,,,,/FK0007011.png,"Silver Hills Sprouted Organic Ancient Grains, Big Red's Bread (510 g)",/FK0007011.png,,/FK0007011.png,,/FK0007011.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007012,,Default,virtual,"MAIN MENUBAR/FOOD/FROZEN,MAIN MENUBAR/FOOD/FROZEN/ ICE CREAM & TREATS",base,"Northbud Pierre Drive Thru Sausage, Egg & Cheese Muffin (250 g)",,,,1,Taxable Goods,"Catalog, Search",5.3892,,,,,,,/FK0007012.png,"Northbud Pierre Drive Thru Sausage, Egg & Cheese Muffin (250 g)",/FK0007012.png,,/FK0007012.png,,/FK0007012.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007013,,Default,virtual,"MAIN MENUBAR/FOOD/FROZEN,MAIN MENUBAR/FOOD/FROZEN/ VEGETABLES",base,"Rich Coffee Rich, Frozen (500 g)",,,,1,Taxable Goods,"Catalog, Search",1.6956,,,,,,,/FK0007013.png,"Rich Coffee Rich, Frozen (500 g)",/FK0007013.png,,/FK0007013.png,,/FK0007013.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007014,,Default,virtual,"MAIN MENUBAR/FOOD/FROZEN,MAIN MENUBAR/FOOD/FROZEN/ FISH & SEAFOOD",base,Breyers Oh Henry! Ice Cream Bars (5x75mL),,,,1,Taxable Goods,"Catalog, Search",6.4692,,,,,,,/FK0007014.png,Breyers Oh Henry! Ice Cream Bars (5x75mL),/FK0007014.png,,/FK0007014.png,,/FK0007014.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007015,,Default,virtual,"MAIN MENUBAR/FOOD/FROZEN,MAIN MENUBAR/FOOD/FROZEN/ ICE CREAM & TREATS",base,No Name Peas and Carrots (750 g),,,,1,Taxable Goods,"Catalog, Search",2.6784,,,,,,,/FK0007015.png,No Name Peas and Carrots (750 g),/FK0007015.png,,/FK0007015.png,,/FK0007015.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0007016,,Default,virtual,"MAIN MENUBAR/FOOD/FROZEN,MAIN MENUBAR/FOOD/FROZEN/ FISH & SEAFOOD",base,Cooked Shrimp Peeled & Deveined (300 g),,,,1,Taxable Goods,"Catalog, Search",8.6184,,,,,,,/FK0007016.png,Cooked Shrimp Peeled & Deveined (300 g),/FK0007016.png,,/FK0007016.png,,/FK0007016.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
