sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
FK0015961,,Default,virtual,"MAIN MENUBAR/PERSONAL CARE,MAIN MENUBAR/PERSONAL CARE/ ORAL CARE",base,Opti-Free RepleniSH Contact Lens Solution Value Pack (2x300mL),,,,1,Taxable Goods,"Catalog, Search",16.7076,,,,,,,/FK0015961.png,Opti-Free RepleniSH Contact Lens Solution Value Pack (2x300mL),/FK0015961.png,,/FK0015961.png,,/FK0015961.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0015962,,Default,virtual,"MAIN MENUBAR/PERSONAL CARE,MAIN MENUBAR/PERSONAL CARE/ ORAL CARE",base,"Kiss My Face Liquid Hand Soap, Lavender & Shea (266 mL)",,,,1,Taxable Goods,"Catalog, Search",8.6292,,,,,,,/FK0015962.png,"Kiss My Face Liquid Hand Soap, Lavender & Shea (266 mL)",/FK0015962.png,,/FK0015962.png,,/FK0015962.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0015963,,Default,virtual,"MAIN MENUBAR/PERSONAL CARE,MAIN MENUBAR/PERSONAL CARE/ SKIN CARE",base,"Gillette Clinical Sport Clear Gel, Power Rush (45 g)",,,,1,Taxable Goods,"Catalog, Search",9.7092,,,,,,,/FK0015963.png,"Gillette Clinical Sport Clear Gel, Power Rush (45 g)",/FK0015963.png,,/FK0015963.png,,/FK0015963.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0015964,,Default,virtual,"MAIN MENUBAR/PERSONAL CARE,MAIN MENUBAR/PERSONAL CARE/ ESSENTIALS FOR HIM",base,Shave Bowl (1 ea),,,,1,Taxable Goods,"Catalog, Search",4.4172,,,,,,,/FK0015964.png,Shave Bowl (1 ea),/FK0015964.png,,/FK0015964.png,,/FK0015964.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0015965,,Default,virtual,"MAIN MENUBAR/PERSONAL CARE,MAIN MENUBAR/PERSONAL CARE/ SKIN CARE",base,"Crest 3D White Brilliance Toothpaste, Mesmerizing Mint (90 mL)",,,,1,Taxable Goods,"Catalog, Search",6.4584,,,,,,,/FK0015965.png,"Crest 3D White Brilliance Toothpaste, Mesmerizing Mint (90 mL)",/FK0015965.png,,/FK0015965.png,,/FK0015965.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0015966,,Default,virtual,"MAIN MENUBAR/PERSONAL CARE,MAIN MENUBAR/PERSONAL CARE/ ESSENTIALS FOR HIM",base,"Crest Spinbrush Pro Clean Battery Toothbrush Replacement Heads, Medium (2 ea)",,,,1,Taxable Goods,"Catalog, Search",7.8176,,,,,,,/FK0015966.png,"Crest Spinbrush Pro Clean Battery Toothbrush Replacement Heads, Medium (2 ea)",/FK0015966.png,,/FK0015966.png,,/FK0015966.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0015967,,Default,virtual,"MAIN MENUBAR/PERSONAL CARE,MAIN MENUBAR/PERSONAL CARE/ SKIN CARE",base,"L'Oreal Age Perfect Hydra-Nutrition Day Lotion, SPF 30 (50 mL)",,,,1,Taxable Goods,"Catalog, Search",29.6892,,,,,,,/FK0015967.png,"L'Oreal Age Perfect Hydra-Nutrition Day Lotion, SPF 30 (50 mL)",/FK0015967.png,,/FK0015967.png,,/FK0015967.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0015968,,Default,virtual,"MAIN MENUBAR/PERSONAL CARE,MAIN MENUBAR/PERSONAL CARE/ ORAL CARE",base,"Degree Men Fresh Deodorant, Arctic Edge (85 g)",,,,1,Taxable Goods,"Catalog, Search",3.2076,,,,,,,/FK0015968.png,"Degree Men Fresh Deodorant, Arctic Edge (85 g)",/FK0015968.png,,/FK0015968.png,,/FK0015968.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0015969,,Default,virtual,"MAIN MENUBAR/PERSONAL CARE,MAIN MENUBAR/PERSONAL CARE/ FEMININE HYGIENE",base,Pond's Exfoliating Renewal Wet Cleansing Towelettes (1 ea),,,,1,Taxable Goods,"Catalog, Search",6.6864,,,,,,,/FK0015969.png,Pond's Exfoliating Renewal Wet Cleansing Towelettes (1 ea),/FK0015969.png,,/FK0015969.png,,/FK0015969.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0015970,,Default,virtual,"MAIN MENUBAR/PERSONAL CARE,MAIN MENUBAR/PERSONAL CARE/ FEMININE HYGIENE",base,Brut Cologne (200 mL),,,,1,Taxable Goods,"Catalog, Search",10.1736,,,,,,,/FK0015970.png,Brut Cologne (200 mL),/FK0015970.png,,/FK0015970.png,,/FK0015970.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
