sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
FK0002055,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAND & NAIL CARE",base,"Essie Nail Lacquer Nail Colour, Model Clicks (13.5 mL)",,,,1,Taxable Goods,"Catalog, Search",15.1092,,,,,,,,"Essie Nail Lacquer Nail Colour, Model Clicks (13.5 mL)",,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002056,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,Marc Anthony Strictly Curls 3 Day Styling Spray (200 mL),,,,1,Taxable Goods,"Catalog, Search",8.9152,,,,,,,/FK0002056.png,Marc Anthony Strictly Curls 3 Day Styling Spray (200 mL),/FK0002056.png,,/FK0002056.png,,/FK0002056.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002057,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,Aussie Moist 2-in-1 Shampoo (400 mL),,,,1,Taxable Goods,"Catalog, Search",3.2184,,,,,,,/FK0002057.png,Aussie Moist 2-in-1 Shampoo (400 mL),/FK0002057.png,,/FK0002057.png,,/FK0002057.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002058,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,Selsun Blue Selsun Blue for Normal to Oily Formula (300 mL),,,,1,Taxable Goods,"Catalog, Search",11.0916,,,,,,,/FK0002058.png,Selsun Blue Selsun Blue for Normal to Oily Formula (300 mL),/FK0002058.png,,/FK0002058.png,,/FK0002058.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002059,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAND & NAIL CARE",base,Gold Bond Ultimate Healing Hand Cream (85 mL),,,,1,Taxable Goods,"Catalog, Search",5.1624,,,,,,,/FK0002059.png,Gold Bond Ultimate Healing Hand Cream (85 mL),/FK0002059.png,,/FK0002059.png,,/FK0002059.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002060,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,Marc Anthony Volumizing Collagen Bamboo Thickening Cream (175 mL),,,,1,Taxable Goods,"Catalog, Search",8.9152,,,,,,,/FK0002060.png,Marc Anthony Volumizing Collagen Bamboo Thickening Cream (175 mL),/FK0002060.png,,/FK0002060.png,,/FK0002060.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002061,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,Herbal Essences Totally Twisted Conditioner (700 mL),,,,1,Taxable Goods,"Catalog, Search",5.5552,,,,,,,/FK0002061.png,Herbal Essences Totally Twisted Conditioner (700 mL),/FK0002061.png,,/FK0002061.png,,/FK0002061.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002062,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,"L'Oreal Excellence Creme, C13 Medium Beige Blonde (1 ea)",,,,1,Taxable Goods,"Catalog, Search",12.1824,,,,,,,/FK0002062.png,"L'Oreal Excellence Creme, C13 Medium Beige Blonde (1 ea)",/FK0002062.png,,/FK0002062.png,,/FK0002062.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002063,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,"L'Oreal ExpertiseNutri-Gloss, High Shine Glossing Mist (150 mL)",,,,1,Taxable Goods,"Catalog, Search",8.0784,,,,,,,/FK0002063.png,"L'Oreal ExpertiseNutri-Gloss, High Shine Glossing Mist (150 mL)",/FK0002063.png,,/FK0002063.png,,/FK0002063.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002064,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,Kiss My Face Big Body Shampoo (325 mL),,,,1,Taxable Goods,"Catalog, Search",9.7092,,,,,,,/FK0002064.png,Kiss My Face Big Body Shampoo (325 mL),/FK0002064.png,,/FK0002064.png,,/FK0002064.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002065,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAND & NAIL CARE",base,"EOS Hand Lotion, Berry Blossom (45 mL)",,,,1,Taxable Goods,"Catalog, Search",4.0932,,,,,,,/FK0002065.png,"EOS Hand Lotion, Berry Blossom (45 mL)",/FK0002065.png,,/FK0002065.png,,/FK0002065.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002066,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,Nexxus Sublime Volume Conditioner (400 mL),,,,1,Taxable Goods,"Catalog, Search",15.1092,,,,,,,/FK0002066.png,Nexxus Sublime Volume Conditioner (400 mL),/FK0002066.png,,/FK0002066.png,,/FK0002066.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002067,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ SKIN CARE",base,Nivea Express Eye Makeup Remover (125 mL),,,,1,Taxable Goods,"Catalog, Search",9.6984,,,,,,,/FK0002067.png,Nivea Express Eye Makeup Remover (125 mL),/FK0002067.png,,/FK0002067.png,,/FK0002067.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002068,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ COSMETICS",base,Conair Travel USB Back Up Battery (1 ea),,,,1,Taxable Goods,"Catalog, Search",37.7892,,,,,,,/FK0002068.png,Conair Travel USB Back Up Battery (1 ea),/FK0002068.png,,/FK0002068.png,,/FK0002068.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002069,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,Stylize Style Roller (1 ea),,,,1,Taxable Goods,"Catalog, Search",8.0784,,,,,,,,Stylize Style Roller (1 ea),,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002070,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAND & NAIL CARE",base,"Essence The Gel Nail Polish, 77 Dreaming Of Love (8 mL)",,,,1,Taxable Goods,"Catalog, Search",3.2292,,,,,,,,"Essence The Gel Nail Polish, 77 Dreaming Of Love (8 mL)",,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002071,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,Conair Ladies Micro Trimmer (1 ea),,,,1,Taxable Goods,"Catalog, Search",21.5892,,,,,,,/FK0002071.png,Conair Ladies Micro Trimmer (1 ea),/FK0002071.png,,/FK0002071.png,,/FK0002071.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002072,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ HAIR CARE",base,"Polybands, Large Clear (1 ea)",,,,1,Taxable Goods,"Catalog, Search",5.7024,,,,,,,,"Polybands, Large Clear (1 ea)",,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0002073,,Default,virtual,"MAIN MENUBAR/BEAUTY,MAIN MENUBAR/BEAUTY/ SKIN CARE",base,Blistex DCT Daily Conditioning Treatment for Lips (7 g),,,,1,Taxable Goods,"Catalog, Search",3.2184,,,,,,,/FK0002073.png,Blistex DCT Daily Conditioning Treatment for Lips (7 g),/FK0002073.png,,/FK0002073.png,,/FK0002073.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
