sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
FK0010537,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"Campbell's Organic Broth, Chicken (900 mL)",,,,1,Taxable Goods,"Catalog, Search",4.0824,,,,,,,/FK0010537.png,"Campbell's Organic Broth, Chicken (900 mL)",/FK0010537.png,,/FK0010537.png,,/FK0010537.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010538,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"President's Choice OrganicsChicken Broth, Low Salt (900 mL)",,,,1,Taxable Goods,"Catalog, Search",2.6784,,,,,,,/FK0010538.png,"President's Choice OrganicsChicken Broth, Low Salt (900 mL)",/FK0010538.png,,/FK0010538.png,,/FK0010538.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010539,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,President's Choice OrganicsBeef Broth (900 mL),,,,1,Taxable Goods,"Catalog, Search",2.6784,,,,,,,/FK0010539.png,President's Choice OrganicsBeef Broth (900 mL),/FK0010539.png,,/FK0010539.png,,/FK0010539.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010540,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,No Name Mandarin Oranges in Fruit Juice From Concentrate (540 mL),,,,1,Taxable Goods,"Catalog, Search",3.4344,,,,,,,/FK0010540.png,No Name Mandarin Oranges in Fruit Juice From Concentrate (540 mL),/FK0010540.png,,/FK0010540.png,,/FK0010540.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010541,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"No Name Chunky, New England Clam Chowder (540 mL)",,,,1,Taxable Goods,"Catalog, Search",1.6956,,,,,,,/FK0010541.png,"No Name Chunky, New England Clam Chowder (540 mL)",/FK0010541.png,,/FK0010541.png,,/FK0010541.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010542,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,President's Choice OrganicsChicken Broth (900 mL),,,,1,Taxable Goods,"Catalog, Search",2.6784,,,,,,,/FK0010542.png,President's Choice OrganicsChicken Broth (900 mL),/FK0010542.png,,/FK0010542.png,,/FK0010542.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010543,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"President's Choice Blue Menu Green Beans, Cut (398 mL)",,,,1,Taxable Goods,"Catalog, Search",1.0976,,,,,,,/FK0010543.png,"President's Choice Blue Menu Green Beans, Cut (398 mL)",/FK0010543.png,,/FK0010543.png,,/FK0010543.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010544,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"Ocean Spray Cranberry Sauce, Jellied (348 mL)",,,,1,Taxable Goods,"Catalog, Search",2.3436,,,,,,,/FK0010544.png,"Ocean Spray Cranberry Sauce, Jellied (348 mL)",/FK0010544.png,,/FK0010544.png,,/FK0010544.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010545,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"Chef Boyardee Spaghetti & Meatballs, Jumbo (411 g)",,,,1,Taxable Goods,"Catalog, Search",1.0864,,,,,,,/FK0010545.png,"Chef Boyardee Spaghetti & Meatballs, Jumbo (411 g)",/FK0010545.png,,/FK0010545.png,,/FK0010545.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010546,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,Campbell's Condensed Broccoli Cheese Soup (284 mL),,,,1,Taxable Goods,"Catalog, Search",1.4,,,,,,,/FK0010546.png,Campbell's Condensed Broccoli Cheese Soup (284 mL),/FK0010546.png,,/FK0010546.png,,/FK0010546.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010547,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,Maple Leaf Vienna Sausage (113 g),,,,1,Taxable Goods,"Catalog, Search",2.1384,,,,,,,/FK0010547.png,Maple Leaf Vienna Sausage (113 g),/FK0010547.png,,/FK0010547.png,,/FK0010547.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010548,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"Campbell's Stock First, Beef (480 mL)",,,,1,Taxable Goods,"Catalog, Search",3.0024,,,,,,,/FK0010548.png,"Campbell's Stock First, Beef (480 mL)",/FK0010548.png,,/FK0010548.png,,/FK0010548.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010549,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"No Name Chunk Light Tuna, Albacore In Water (170 g)",,,,1,Taxable Goods,"Catalog, Search",1.064,,,,,,,/FK0010549.png,"No Name Chunk Light Tuna, Albacore In Water (170 g)",/FK0010549.png,,/FK0010549.png,,/FK0010549.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010550,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"Primo Pizza Squeeze, Original (375 mL)",,,,1,Taxable Goods,"Catalog, Search",2.1384,,,,,,,/FK0010550.png,"Primo Pizza Squeeze, Original (375 mL)",/FK0010550.png,,/FK0010550.png,,/FK0010550.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010551,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"Catelli Garden Select Six Vegetable Recipe Pasta Sauce, Diced Tomatoes & Basil (640 mL)",,,,1,Taxable Goods,"Catalog, Search",2.6784,,,,,,,/FK0010551.png,"Catelli Garden Select Six Vegetable Recipe Pasta Sauce, Diced Tomatoes & Basil (640 mL)",/FK0010551.png,,/FK0010551.png,,/FK0010551.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010552,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"PC Black Label Pasta Sauce, Arrabbiata (650 mL)",,,,1,Taxable Goods,"Catalog, Search",5.3784,,,,,,,/FK0010552.png,"PC Black Label Pasta Sauce, Arrabbiata (650 mL)",/FK0010552.png,,/FK0010552.png,,/FK0010552.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010553,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"St Hubert Poutine Gravy, Smoked Bacon (398 mL)",,,,1,Taxable Goods,"Catalog, Search",2.1384,,,,,,,,"St Hubert Poutine Gravy, Smoked Bacon (398 mL)",,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010554,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"Clover Leaf Flaked Light Tuna, In Water, Low Sodium (170 g)",,,,1,Taxable Goods,"Catalog, Search",1.12,,,,,,,/FK0010554.png,"Clover Leaf Flaked Light Tuna, In Water, Low Sodium (170 g)",/FK0010554.png,,/FK0010554.png,,/FK0010554.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010555,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,Arz Fava beans Chick Pea Salad (540 mL),,,,1,Taxable Goods,"Catalog, Search",0.8624,,,,,,,/FK0010555.png,Arz Fava beans Chick Pea Salad (540 mL),/FK0010555.png,,/FK0010555.png,,/FK0010555.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
FK0010556,,Default,virtual,"MAIN MENUBAR/FOOD/PANTRY,MAIN MENUBAR/FOOD/PANTRY/ CANNED & JARRED",base,"Clover Leaf Hummus Snacks, Roasted Red Pepper (99 g)",,,,1,Taxable Goods,"Catalog, Search",2.3544,,,,,,,/FK0010556.png,"Clover Leaf Hummus Snacks, Roasted Red Pepper (99 g)",/FK0010556.png,,/FK0010556.png,,/FK0010556.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,
