sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id
FK0000001,,Default,virtual,"MAIN MENUBAR/BABY NEEDS,MAIN MENUBAR/BABY NEEDS/ BABY FOOD",base,"Heinz Oatmeal Cereal, no Milk (227 g)",,,,1,Taxable Goods,"Catalog, Search",3.34,,,,,,,/FK0000001.png,"Heinz Oatmeal Cereal, no Milk (227 g)",/FK0000001.png,,/FK0000001.png,,/FK0000001.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0000002,,Default,virtual,"MAIN MENUBAR/BABY NEEDS,MAIN MENUBAR/BABY NEEDS/ DRY BABY FOOD",base,"Nestle GerberWheat, Banana & Strawberry (227 g)",,,,1,Taxable Goods,"Catalog, Search",3.65,,,,,,,/FK0000002.png,"Nestle GerberWheat, Banana & Strawberry (227 g)",/FK0000002.png,,/FK0000002.png,,/FK0000002.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0000003,,Default,virtual,"MAIN MENUBAR/BABY NEEDS,MAIN MENUBAR/BABY NEEDS/ SNACKS & BISCUITS",base,"Nestle GerberPuffs, Peach (42 g)",,,,1,Taxable Goods,"Catalog, Search",2.9916,,,,,,,/FK0000003.png,"Nestle GerberPuffs, Peach (42 g)",/FK0000003.png,,/FK0000003.png,,/FK0000003.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0000004,,Default,virtual,"MAIN MENUBAR/BABY NEEDS,MAIN MENUBAR/BABY NEEDS/ SNACKS & BISCUITS",base,"Heinz Little Kids Cereal Bars, Acai Blueberry Raspberry (117 g)",,,,1,Taxable Goods,"Catalog, Search",3.21,,,,,,,/FK0000004.png,"Heinz Little Kids Cereal Bars, Acai Blueberry Raspberry (117 g)",/FK0000004.png,,/FK0000004.png,,/FK0000004.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0000005,,Default,virtual,"MAIN MENUBAR/BABY NEEDS,MAIN MENUBAR/BABY NEEDS/ ORGANIC BABY FOOD & FORMULA",base,Heinz Organic Pear Pouch (128 mL),,,,1,Taxable Goods,"Catalog, Search",1.6,,,,,,,/FK0000005.png,Heinz Organic Pear Pouch (128 mL),/FK0000005.png,,/FK0000005.png,,/FK0000005.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0000006,,Default,virtual,"MAIN MENUBAR/BABY NEEDS,MAIN MENUBAR/BABY NEEDS/ DRY BABY FOOD",base,"President's Choice OrganicsStrained Baby Food, Sweet Potatoes, 6+ Months (128 mL)",,,,1,Taxable Goods,"Catalog, Search",1.8144,,,,,,,,"President's Choice OrganicsStrained Baby Food, Sweet Potatoes, 6+ Months (128 mL)",,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0000007,,Default,virtual,"MAIN MENUBAR/BABY NEEDS,MAIN MENUBAR/BABY NEEDS/ ORGANIC BABY FOOD & FORMULA",base,"President's Choice OrganicsApple , Peach, Pumpkin (128 mL)",,,,1,Taxable Goods,"Catalog, Search",1.08,,,,,,,/FK0000007.png,"President's Choice OrganicsApple , Peach, Pumpkin (128 mL)",/FK0000007.png,,/FK0000007.png,,/FK0000007.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0000008,,Default,virtual,"MAIN MENUBAR/BABY NEEDS,MAIN MENUBAR/BABY NEEDS/ BABY FORMULAS",base,Similac Regular Powder Formula (850 g),,,,1,Taxable Goods,"Catalog, Search",25.7376,,,,,,,/FK0000008.png,Similac Regular Powder Formula (850 g),/FK0000008.png,,/FK0000008.png,,/FK0000008.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0000009,,Default,virtual,"MAIN MENUBAR/BABY NEEDS,MAIN MENUBAR/BABY NEEDS/ BABY FOOD",base,Heinz Jr Beef & Spaghetti (213 mL),,,,1,Taxable Goods,"Catalog, Search",1.08,,,,,,,/FK0000009.png,Heinz Jr Beef & Spaghetti (213 mL),/FK0000009.png,,/FK0000009.png,,/FK0000009.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0000010,,Default,virtual,"MAIN MENUBAR/BABY NEEDS,MAIN MENUBAR/BABY NEEDS/ ORGANIC BABY FOOD & FORMULA",base,"Baby Gourmet 7 Months+, Roasted Squash & Fruit Medley (128 mL)",,,,1,Taxable Goods,"Catalog, Search",2.0196,,,,,,,/FK0000010.png,"Baby Gourmet 7 Months+, Roasted Squash & Fruit Medley (128 mL)",/FK0000010.png,,/FK0000010.png,,/FK0000010.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
