sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id
FK0003319,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,The Laughing Cow Garlic & Herb (133 g),,,,1,Taxable Goods,"Catalog, Search",3.7476,,,,,,,/FK0003319.png,The Laughing Cow Garlic & Herb (133 g),/FK0003319.png,,/FK0003319.png,,/FK0003319.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003320,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SHREDDED CHEESE",base,The Laughing Cow Light (133 g),,,,1,Taxable Goods,"Catalog, Search",3.7476,,,,,,,/FK0003320.png,The Laughing Cow Light (133 g),/FK0003320.png,,/FK0003320.png,,/FK0003320.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003321,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"Kraft Cracker Barrel Cheese, Marble Cheddar (460 g)",,,,1,Taxable Goods,"Catalog, Search",6.6976,,,,,,,/FK0003321.png,"Kraft Cracker Barrel Cheese, Marble Cheddar (460 g)",/FK0003321.png,,/FK0003321.png,,/FK0003321.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003322,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ COTTAGE CHEESE",base,Kraft Cracker Barrel Natural Part Skim Shredded Mozzarella (320 g),,,,1,Taxable Goods,"Catalog, Search",6.6976,,,,,,,/FK0003322.png,Kraft Cracker Barrel Natural Part Skim Shredded Mozzarella (320 g),/FK0003322.png,,/FK0003322.png,,/FK0003322.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003323,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"PC Cheese, Gouda (400 g)",,,,1,Taxable Goods,"Catalog, Search",6.1376,,,,,,,/FK0003323.png,"PC Cheese, Gouda (400 g)",/FK0003323.png,,/FK0003323.png,,/FK0003323.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003324,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ COTTAGE CHEESE",base,"Dairyland Cottage Cheese, 2% (500 mL)",,,,1,Taxable Goods,"Catalog, Search",4.5036,,,,,,,/FK0003324.png,"Dairyland Cottage Cheese, 2% (500 mL)",/FK0003324.png,,/FK0003324.png,,/FK0003324.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003325,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"Kraft Cracker Barrel Cheese, Havarti (400 g)",,,,1,Taxable Goods,"Catalog, Search",6.6976,,,,,,,/FK0003325.png,"Kraft Cracker Barrel Cheese, Havarti (400 g)",/FK0003325.png,,/FK0003325.png,,/FK0003325.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003326,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ STRING & SNACK",base,Foremost Dry Cottage Cheese (375 g),,,,1,Taxable Goods,"Catalog, Search",4.2984,,,,,,,/FK0003326.png,Foremost Dry Cottage Cheese (375 g),/FK0003326.png,,/FK0003326.png,,/FK0003326.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003327,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"Kraft Cracker Barrel Cheese, Marble Light (400 g)",,,,1,Taxable Goods,"Catalog, Search",6.6976,,,,,,,/FK0003327.png,"Kraft Cracker Barrel Cheese, Marble Light (400 g)",/FK0003327.png,,/FK0003327.png,,/FK0003327.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003328,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"Babybel Mini Babybel Original Club Pack, 18 Pack (360 g)",,,,1,Taxable Goods,"Catalog, Search",12.96,,,,,,,/FK0003328.png,"Babybel Mini Babybel Original Club Pack, 18 Pack (360 g)",/FK0003328.png,,/FK0003328.png,,/FK0003328.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003329,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ STRING & SNACK",base,"Kraft Cracker Barrel Cheese, Monterey Jack (400 g)",,,,1,Taxable Goods,"Catalog, Search",6.6976,,,,,,,/FK0003329.png,"Kraft Cracker Barrel Cheese, Monterey Jack (400 g)",/FK0003329.png,,/FK0003329.png,,/FK0003329.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003330,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SLICED CHEESE",base,Malai Paneer (375 g),,,,1,Taxable Goods,"Catalog, Search",6.4476,,,,,,,/FK0003330.png,Malai Paneer (375 g),/FK0003330.png,,/FK0003330.png,,/FK0003330.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003331,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"aMOOza! Twists, Mozzarella-Cheddar (252 g)",,,,1,Taxable Goods,"Catalog, Search",6.6636,,,,,,,/FK0003331.png,"aMOOza! Twists, Mozzarella-Cheddar (252 g)",/FK0003331.png,,/FK0003331.png,,/FK0003331.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003332,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ STRING & SNACK",base,"No Name Cheese Slices, Old Cheddar (210 g)",,,,1,Taxable Goods,"Catalog, Search",4.3456,,,,,,,/FK0003332.png,"No Name Cheese Slices, Old Cheddar (210 g)",/FK0003332.png,,/FK0003332.png,,/FK0003332.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003333,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SLICED CHEESE",base,"Armstrong Old Cheddar, Light (700 g)",,,,1,Taxable Goods,"Catalog, Search",10.3356,,,,,,,/FK0003333.png,"Armstrong Old Cheddar, Light (700 g)",/FK0003333.png,,/FK0003333.png,,/FK0003333.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003334,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SLICED CHEESE",base,"Balderson 2-Year Old Royal Canadian White Cheddar, Snack Size (5x126g)",,,,1,Taxable Goods,"Catalog, Search",5.4,,,,,,,/FK0003334.png,"Balderson 2-Year Old Royal Canadian White Cheddar, Snack Size (5x126g)",/FK0003334.png,,/FK0003334.png,,/FK0003334.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003335,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SLICED CHEESE",base,"No Name Cheese Slices, Medium Cheddar (230 g)",,,,1,Taxable Goods,"Catalog, Search",4.3456,,,,,,,/FK0003335.png,"No Name Cheese Slices, Medium Cheddar (230 g)",/FK0003335.png,,/FK0003335.png,,/FK0003335.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003336,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SHREDDED CHEESE",base,"Kraft Cracker Barrel Cheese Slices, Medium Light (240 g)",,,,1,Taxable Goods,"Catalog, Search",4.4464,,,,,,,/FK0003336.png,"Kraft Cracker Barrel Cheese Slices, Medium Light (240 g)",/FK0003336.png,,/FK0003336.png,,/FK0003336.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003337,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"Velveeta Cheese Slices, Thin (900 g)",,,,1,Taxable Goods,"Catalog, Search",8.9376,,,,,,,/FK0003337.png,"Velveeta Cheese Slices, Thin (900 g)",/FK0003337.png,,/FK0003337.png,,/FK0003337.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003338,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"Kraft Cracker Barrel Shredded Cheese, 3 Cheese Pizza Mozzarella (320 g)",,,,1,Taxable Goods,"Catalog, Search",6.6976,,,,,,,/FK0003338.png,"Kraft Cracker Barrel Shredded Cheese, 3 Cheese Pizza Mozzarella (320 g)",/FK0003338.png,,/FK0003338.png,,/FK0003338.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003339,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,PC Black Label Bearnaise Sauce (250 mL),,,,1,Taxable Goods,"Catalog, Search",5.5776,,,,,,,/FK0003339.png,PC Black Label Bearnaise Sauce (250 mL),/FK0003339.png,,/FK0003339.png,,/FK0003339.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003340,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SLICED CHEESE",base,"PC Cheese, Havarti (400 g)",,,,1,Taxable Goods,"Catalog, Search",6.1376,,,,,,,/FK0003340.png,"PC Cheese, Havarti (400 g)",/FK0003340.png,,/FK0003340.png,,/FK0003340.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003341,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ STRING & SNACK",base,"Armstrong Cheese, Yellow Mild Cheddar Cracker Cut (700 g)",,,,1,Taxable Goods,"Catalog, Search",10.3356,,,,,,,/FK0003341.png,"Armstrong Cheese, Yellow Mild Cheddar Cracker Cut (700 g)",/FK0003341.png,,/FK0003341.png,,/FK0003341.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003342,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"Kraft Singles, Mozzarella (450 g)",,,,1,Taxable Goods,"Catalog, Search",5.9076,,,,,,,/FK0003342.png,"Kraft Singles, Mozzarella (450 g)",/FK0003342.png,,/FK0003342.png,,/FK0003342.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003343,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"Babybel Mini Babybel, Original (240 g)",,,,1,Taxable Goods,"Catalog, Search",8.0676,,,,,,,/FK0003343.png,"Babybel Mini Babybel, Original (240 g)",/FK0003343.png,,/FK0003343.png,,/FK0003343.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003344,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SHREDDED CHEESE",base,No Name Mild Cheddar Cheese (700 g),,,,1,Taxable Goods,"Catalog, Search",9.1584,,,,,,,/FK0003344.png,No Name Mild Cheddar Cheese (700 g),/FK0003344.png,,/FK0003344.png,,/FK0003344.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003345,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SHREDDED CHEESE",base,"PC Cheddar, Medium (460 g)",,,,1,Taxable Goods,"Catalog, Search",6.1376,,,,,,,/FK0003345.png,"PC Cheddar, Medium (460 g)",/FK0003345.png,,/FK0003345.png,,/FK0003345.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003346,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"No Name Shredded Cheese, Nacho 3 Cheese (340 g)",,,,1,Taxable Goods,"Catalog, Search",6.4584,,,,,,,/FK0003346.png,"No Name Shredded Cheese, Nacho 3 Cheese (340 g)",/FK0003346.png,,/FK0003346.png,,/FK0003346.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003347,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ CHEESE BLOCKS",base,"No Name Club Pack Shredded Cheese, Mozzarella (1 kg)",,,,1,Taxable Goods,"Catalog, Search",12.15,,,,,,,/FK0003347.png,"No Name Club Pack Shredded Cheese, Mozzarella (1 kg)",/FK0003347.png,,/FK0003347.png,,/FK0003347.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003348,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SHREDDED CHEESE",base,Kraft Old Cheddar (1.15 kg),,,,1,Taxable Goods,"Catalog, Search",16.6212,,,,,,,/FK0003348.png,Kraft Old Cheddar (1.15 kg),/FK0003348.png,,/FK0003348.png,,/FK0003348.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003349,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SLICED CHEESE",base,"No Name Cheese, Mozzarella Part Skim Light (200 g)",,,,1,Taxable Goods,"Catalog, Search",4.8384,,,,,,,/FK0003349.png,"No Name Cheese, Mozzarella Part Skim Light (200 g)",/FK0003349.png,,/FK0003349.png,,/FK0003349.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003350,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SHREDDED CHEESE",base,Earth Island Cheddar Slices (227 g),,,,1,Taxable Goods,"Catalog, Search",7.5384,,,,,,,,Earth Island Cheddar Slices (227 g),,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0003351,,Default,virtual,"MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS,MAIN MENUBAR/FOOD/DAIRYÃŠ & EGGS/ SHREDDED CHEESE",base,"Kraft Singles, Swiss (450 g)",,,,1,Taxable Goods,"Catalog, Search",5.9076,,,,,,,/FK0003351.png,"Kraft Singles, Swiss (450 g)",/FK0003351.png,,/FK0003351.png,,/FK0003351.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
