sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id
FK0005582,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ WATER",base,"Talking Rain Sparkling Ice, Coconut Pineapple (503 mL)",,,,1,Taxable Goods,"Catalog, Search",1.4904,,,,,,,/FK0005582.png,"Talking Rain Sparkling Ice, Coconut Pineapple (503 mL)",/FK0005582.png,,/FK0005582.png,,/FK0005582.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0005583,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ WATER",base,President's Choice Carbonated Spring Water (750 mL),,,,1,Taxable Goods,"Catalog, Search",1.5984,,,,,,,/FK0005583.png,President's Choice Carbonated Spring Water (750 mL),/FK0005583.png,,/FK0005583.png,,/FK0005583.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0005584,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ WATER",base,President's Choice Cabronated Spring Water with Lemon (12x750mL),,,,1,Taxable Goods,"Catalog, Search",11.8584,,,,,,,,President's Choice Cabronated Spring Water with Lemon (12x750mL),,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0005585,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ WATER",base,Real Canadian Spring Water Jug (10 L),,,,1,Taxable Goods,"Catalog, Search",5.1732,,,,,,,/FK0005585.png,Real Canadian Spring Water Jug (10 L),/FK0005585.png,,/FK0005585.png,,/FK0005585.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0005586,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ WATER",base,"SanPellegrino Sparkling Water, Clementine (6x330mL)",,,,1,Taxable Goods,"Catalog, Search",6.2424,,,,,,,/FK0005586.png,"SanPellegrino Sparkling Water, Clementine (6x330mL)",/FK0005586.png,,/FK0005586.png,,/FK0005586.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0005587,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ WATER",base,"Perrier Sparkling Water, Lime (6x1L)",,,,1,Taxable Goods,"Catalog, Search",9.1476,,,,,,,/FK0005587.png,"Perrier Sparkling Water, Lime (6x1L)",/FK0005587.png,,/FK0005587.png,,/FK0005587.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0005588,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ WATER",base,Canada Dry Tonic Water (12x355mL),,,,1,Taxable Goods,"Catalog, Search",4.1104,,,,,,,/FK0005588.png,Canada Dry Tonic Water (12x355mL),/FK0005588.png,,/FK0005588.png,,/FK0005588.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0005589,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ WATER",base,SanPellegrino Mineral Water (750 mL),,,,1,Taxable Goods,"Catalog, Search",1.4,,,,,,,/FK0005589.png,SanPellegrino Mineral Water (750 mL),/FK0005589.png,,/FK0005589.png,,/FK0005589.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0005590,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ WATER",base,"SanPellegrino Sparkling Fruit Beverage, Pompelmo (6x330mL)",,,,1,Taxable Goods,"Catalog, Search",6.2424,,,,,,,,"SanPellegrino Sparkling Fruit Beverage, Pompelmo (6x330mL)",,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
FK0005591,,Default,virtual,"MAIN MENUBAR/FOOD/DRINKS,MAIN MENUBAR/FOOD/DRINKS/ WATER",base,Ocean Spray PACt Cranberry and Raspberry Extract Water (473 mL),,,,1,Taxable Goods,"Catalog, Search",2.2464,,,,,,,/FK0005591.png,Ocean Spray PACt Cranberry and Raspberry Extract Water (473 mL),/FK0005591.png,,/FK0005591.png,,/FK0005591.png,,,,,,Block after Info Column,,,,Use config,,,,,,,Use config,,,,0,1,0,0,1,1,1,10000,1,0,1,1,0,0,1,1,1,0,0,0
